class_code,generation,group_number,group_master,on_offline,group_leave,leave_point,avg_point_m1,avg_point_m2,avg_point_m1m2,delta_m2_m1,avg_point_all,months_observed,group_size,age_sd,age_range,job_domain_cnt,major_cnt,has_leader
2,8,6,False,해당없음,True,중간 휴회기간 이전,0.8,1.83,1.315,1.03,0.6575,4.0,5,5.594640292,14.0,1,4,True
13,11,1,False,오프라인,False,해당없음,3.2,4.4,3.8,1.2,3.266666667,3.0,4,1.914854216,4.0,3,3,True
4,9,9,False,오프라인,False,해당없음,1.2,1.3,1.25,0.1,0.375,4.0,4,2.708012802,6.0,1,2,True
6,9,6,True,오프라인,False,해당없음,1.8,1.8,1.8,0.0,4.0,4.0,5,1.140175425,3.0,1,4,True
2,10,4,False,온오프라인,False,해당없음,1.2,1.6,1.4,0.4,1.4,4.0,5,0.8366600265,2.0,1,4,True
4,9,3,False,오프라인,False,해당없음,1.0,1.1,1.05,0.1,0.275,4.0,4,1.0,2.0,1,2,True
7,11,2,False,오프라인,False,해당없음,3.2,4.4,3.8,1.2,3.2,3.0,4,0.9574271078,2.0,1,4,True
1,9,5,True,온라인,False,해당없음,2.2,2.0,2.1,-0.2,1.975,4.0,5,1.140175425,3.0,1,5,True
4,11,6,False,오프라인,False,해당없음,3.6,4.8,4.2,1.2,3.466666667,3.0,5,0.7071067812,2.0,1,5,True
2,9,5,False,오프라인,False,해당없음,1.4,1.0,1.2,-0.4,0.775,4.0,4,1.258305739,3.0,1,4,True
2,9,5,False,오프라인,False,해당없음,1.4,1.0,1.2,-0.4,0.775,4.0,4,1.258305739,3.0,1,4,True
11,9,2,False,오프라인,True,확인 불가,,,,,,,4,1.290994449,3.0,1,4,True
13,11,2,False,오프라인,True,중간 휴회기간 이후,3.0,4.0,3.5,1.0,2.766666667,3.0,4,1.5,3.0,1,4,True
2,11,2,False,온라인,False,해당없음,3.0,4.0,3.5,1.0,3.0,3.0,5,2.167948339,5.0,1,5,True
11,10,3,True,오프라인,False,해당없음,2.2,2.6,2.4,0.4,2.433333333,3.0,5,1.414213562,3.0,1,4,True
5,9,6,True,온라인,False,해당없음,1.8,3.6,2.7,1.8,2.375,4.0,6,2.136976057,6.0,2,2,True
4,9,6,False,오프라인,False,해당없음,1.4,1.1,1.25,-0.3,0.875,4.0,4,2.061552813,4.0,1,2,True
4,9,5,True,오프라인,False,해당없음,1.2,2.0,1.6,0.8,1.475,4.0,5,0.894427191,2.0,1,5,True
9,10,5,False,온라인,False,해당없음,1.4,1.8,1.6,0.4,2.266666667,3.0,5,1.816590212,4.0,2,5,True
6,8,6,False,오프라인,False,해당없음,1.0,1.875,1.4375,0.875,0.71875,4.0,6,2.50998008,6.0,1,2,True
1,10,3,True,온라인,True,중간 휴회기간 이전,-0.5,-0.5,-0.5,0.0,-0.5,4.0,3,2.645751311,5.0,1,3,True
